V_NO,MAKE,MODEL,COLOUR,FUEL_TYPE,REGISTERED_KEEPERS,CAPCLEAN,ODOMETER_MILES,VEHICLE_AGE__MONTHS,REGISTRATION_DATE,VEHICLE_SOURCE,TRANSMISSION_TYPE
35875,MERCEDES-BENZ,GLC,BLUE,Diesel,3,15500,76519,96,20/05/2019,TradeZone,MANUAL
3072,VOLVO,V40,BLACK,Diesel,2,2100,150179,125,28/06/2016,TradeZone,MANUAL
62934,VAUXHALL,GRANDLAND X,RED,Petrol,2,9475,65258,53,09/05/2019,TradeZone,MANUAL
98631,SMART,FORTWO COUPE,BLACK,Petrol,2,5575,56186,94,11/09/2017,TradeZone,SEMI-AUTO
10724,VOLVO,XC60,BLUE,Diesel,3,4425,210000,96,08/06/2020,TradeZone,MANUAL
18457,VAUXHALL,ASTRA,BLACK,Diesel,8,840,109000,170,30/04/2021,TradeZone,SEMI-AUTO
27048,BMW,1 SERIES,GREY,Petrol,3,9825,52793,78,09/02/2019,TradeZone,MANUAL
41431,CITROEN,C5 AIRCROSS,SILVER,Petrol,1,14400,15110,38,27/06/2018,TradeZone,MANUAL
70821,SKODA,KODIAQ,WHITE,Petrol,2,12850,52041,92,30/06/2019,TradeZone,AUTO
70733,VAUXHALL,CORSA,GREY,Petrol,4,440,110710,176,29/09/2021,TradeZone,SEMI-AUTO
44947,NISSAN,JUKE,RED,Diesel,6,1550,95001,145,26/07/2019,TradeZone,AUTO
10185,SEAT,LEON,RED,Diesel,2,5525,65000,117,23/03/2017,PARTEX,AUTO
17912,LAND ROVER,RANGE ROVER EVOQUE,WHITE,Diesel,2,8575,59341,86,29/07/2021,OTHER,SEMI-AUTO
76271,LAND ROVER,RANGE ROVER EVOQUE,GREY,Petrol,1,21650,38009,55,01/02/2019,TradeZone,SEMI-AUTO
26983,LAND ROVER,RANGE ROVER EVOQUE,SILVER,Petrol,1,20600,41796,66,31/01/2017,TradeZone,MANUAL
93363,MINI,CONVERTIBLE,GREY,Petrol,2,13750,45103,55,07/03/2019,TradeZone,MANUAL
9787,VOLKSWAGEN,T-ROC,RED,Diesel,2,13200,55783,82,01/03/2018,TradeZone,MANUAL
40680,VAUXHALL,CORSA,GREY,Petrol,2,6700,21140,92,21/09/2018,TradeZone,MANUAL
39328,VAUXHALL,ASTRA,BLACK,Petrol,2,2200,112930,96,28/06/2019,TradeZone,MANUAL
89606,AUDI,Q3,WHITE,Diesel,2,10450,55806,90,31/10/2019,TradeZone,MANUAL
72324,VOLVO,XC40,BLACK,Petrol,1,22450,23577,40,31/03/2021,PARTEX,SEMI-AUTO
27641,RENAULT,CAPTUR,BLUE,Diesel,4,3150,84261,130,29/01/2021,TradeZone,SEMI-AUTO
39547,FORD,PUMA,WHITE,Petrol,3,14150,24982,35,30/04/2021,PARTEX,MANUAL
98224,FORD,PUMA,BLUE,Petrol,1,12100,45565,45,01/09/2018,PARTEX,MANUAL
9004,RENAULT,SCENIC,RED,Petrol,3,810,113000,161,20/07/2018,TradeZone,MANUAL
11019,HYUNDAI,I20,BLACK,Petrol,3,4750,59783,108,31/05/2021,TradeZone,MANUAL
49165,HYUNDAI,I20,GREEN,Petrol,2,3500,91547,122,23/07/2018,OTHER,SEMI-AUTO
39234,RENAULT,CLIO,BLACK,Petrol,3,6025,54544,91,28/06/2019,TradeZone,MANUAL
15483,SMART,FORTWO CABRIO,WHITE,Petrol,2,2725,63700,155,05/10/2021,TradeZone,SEMI-AUTO
97721,LAND ROVER,RANGE ROVER EVOQUE,BLACK,Diesel,3,10950,52488,92,24/09/2021,TradeZone,SEMI-AUTO
63898,AUDI,Q5,GREY,Diesel,2,18950,74498,76,27/07/2021,TradeZone,SEMI-AUTO
6894,NISSAN,MICRA,BLUE,Petrol,3,3750,41300,100,31/05/2021,TradeZone,SEMI-AUTO
28066,JEEP,RENEGADE,WHITE,Petrol,3,6575,49236,81,30/06/2021,TradeZone,SEMI-AUTO
58627,JEEP,RENEGADE,RED,Petrol,4,5325,59715,109,30/05/2019,TradeZone,MANUAL
37982,AUDI,TT,GREY,Petrol,8,2575,90000,220,19/12/2019,PARTEX,MANUAL
9741,VOLKSWAGEN,TIGUAN ALLSPACE,GREY,Diesel,2,18450,30815,64,20/07/2018,TradeZone,AUTO
6688,KIA,RIO,BLACK,Petrol,2,3975,60950,110,21/06/2019,TradeZone,AUTO
3707,KIA,RIO,BLACK,Petrol,2,5050,32489,105,31/12/2019,TradeZone,SEMI-AUTO
71525,FORD,FIESTA,GREY,Petrol,2,3600,64147,101,01/09/2022,TradeZone,AUTO
90473,NISSAN,X-TRAIL,BLUE,Hybrid,1,28550,50,2,12/08/2021,TradeZone,SEMI-AUTO
42403,FORD,FIESTA,BLUE,Petrol,1,9375,15104,76,19/03/2021,TradeZone,MANUAL
95906,FORD,FIESTA,GREY,Petrol,2,7025,54700,75,20/09/2018,TradeZone,MANUAL
18296,MERCEDES-BENZ,SLK,BLUE,Diesel,3,3150,159000,150,26/09/2022,TradeZone,MANUAL
61051,KIA,XCEED,GREY,Petrol,2,14250,23584,62,26/07/2019,PARTEX,MANUAL
69565,FORD,S-MAX,BLACK,Diesel,2,9950,74088,98,30/07/2021,TradeZone,AUTO
15590,AUDI,A3,RED,Hybrid,1,12800,37512,62,28/06/2019,TradeZone,MANUAL
10719,AUDI,A3,BLACK,Hybrid,1,13200,31447,57,30/01/2020,TradeZone,MANUAL
32937,FORD,C-MAX,GREY,Diesel,4,2975,66250,116,28/06/2019,TradeZone,MANUAL
93754,DS,DS 3,BLACK,Petrol,2,3825,58779,85,19/03/2019,PARTEX,SEMI-AUTO
1893,DS,DS 3,WHITE,Petrol,2,4375,37552,86,01/09/2018,PARTEX,MANUAL
92973,KIA,PICANTO,BLACK,Petrol,2,9000,25167,53,22/09/2021,TradeZone,MANUAL
61654,VAUXHALL,INSIGNIA GRAND SPORT,RED,Petrol,2,7725,33454,78,31/10/2017,PARTEX,MANUAL
80691,MG,MG5,GREY,Electric,3,9575,38098,50,31/05/2019,TradeZone,MANUAL
4401,MG,MG5,WHITE,Electric,1,10100,32191,42,08/09/2020,TradeZone,MANUAL
71917,VAUXHALL,ANTARA,BLACK,Diesel,2,1150,74419,139,21/07/2021,TradeZone,AUTO
23452,FORD,ECOSPORT,GREY,Petrol,3,3600,69278,98,24/08/2018,TradeZone,SEMI-AUTO
74619,VAUXHALL,ASTRA,WHITE,Petrol,3,6600,27767,104,25/10/2018,TradeZone,SEMI-AUTO
55028,NISSAN,JUKE,BLUE,Petrol,4,1850,112000,156,07/02/2022,TradeZone,AUTO
38890,BMW,X5,GREY,Hybrid,1,42600,25090,26,14/11/2019,TradeZone,MANUAL
10884,LEXUS,UX,GREY,Hybrid,1,20850,24718,50,26/07/2021,TradeZone,SEMI-AUTO
94589,VAUXHALL,GRANDLAND X,CREAM,Hybrid,3,10950,58136,64,01/03/2018,TradeZone,MANUAL
88635,TOYOTA,RAV4,WHITE,Hybrid,1,19050,70956,67,30/08/2021,TradeZone,MANUAL
15995,AUDI,A3,BLUE,Petrol,2,2800,160750,132,23/07/2021,TradeZone,AUTO
64656,MERCEDES-BENZ,C-CLASS,BLUE,Diesel,6,11350,51000,98,30/04/2019,TradeZone,MANUAL
70494,FORD,MONDEO,GREY,Diesel,3,3325,75121,132,30/06/2021,TradeZone,MANUAL
27903,NISSAN,JUKE,RED,Hybrid,2,18600,4360,8,16/09/2020,TradeZone,SEMI-AUTO
12656,NISSAN,QASHQAI,SILVER,Petrol,1,11550,51421,72,13/02/2018,TradeZone,AUTO
55097,CITROEN,GRAND C4 PICASSO,BLUE,Diesel,2,2925,75137,134,25/06/2019,TradeZone,SEMI-AUTO
26260,MERCEDES-BENZ,GLA,BLACK,Petrol,1,16450,42168,59,16/05/2019,PARTEX,MANUAL
70550,HYUNDAI,I20,BLUE,Petrol,2,7400,54407,70,22/01/2019,TradeZone,AUTO
82297,BMW,1 SERIES,BLUE,Diesel,1,13850,60456,39,25/04/2019,TradeZone,AUTO
96662,BMW,1 SERIES,BLUE,Diesel,1,13950,44771,57,29/06/2021,TradeZone,AUTO
64166,FORD,FIESTA,BLACK,Petrol,1,9725,41006,50,12/08/2021,TradeZone,SEMI-AUTO
8300,FORD,FIESTA,GREY,Petrol,1,9600,35319,59,14/11/2018,TradeZone,MANUAL
90629,FORD,FIESTA,BLACK,Petrol,1,8225,56488,59,30/07/2021,OTHER,SEMI-AUTO
44522,FORD,FIESTA,YELLOW,Petrol,2,9950,33970,56,30/06/2021,TradeZone,AUTO
15878,FORD,FIESTA,BLACK,Petrol,1,760,40661,206,30/09/2020,TradeZone,SEMI-AUTO
9837,MINI,CONVERTIBLE,BLUE,Petrol,5,1650,63400,230,21/04/2021,OTHER,MANUAL
55340,LAND ROVER,DISCOVERY SPORT,GREY,Diesel,2,8550,77284,90,02/03/2022,TradeZone,MANUAL
59731,LAND ROVER,DISCOVERY SPORT,RED,Diesel,5,8350,74626,104,29/06/2018,PARTEX,MANUAL
69787,LAND ROVER,DISCOVERY SPORT,BLACK,Diesel,3,8675,69358,101,05/03/2020,TradeZone,MANUAL
37770,LAND ROVER,DISCOVERY SPORT,BLACK,Diesel,3,9600,62000,89,19/03/2021,OTHER,SEMI-AUTO
23581,PEUGEOT,2008,GREY,Diesel,3,7550,47258,73,13/02/2018,TradeZone,MANUAL
27968,SKODA,OCTAVIA,BLUE,Hybrid,1,14000,34303,48,12/08/2021,TradeZone,MANUAL
4735,SKODA,OCTAVIA,BLUE,Hybrid,1,12200,56686,47,26/09/2016,TradeZone,SEMI-AUTO
15013,NISSAN,JUKE,BLACK,Petrol,2,4000,71831,91,29/07/2021,TradeZone,SEMI-AUTO
53651,NISSAN,JUKE,RED,Petrol,2,5050,40479,94,14/12/2019,TradeZone,AUTO
32201,NISSAN,JUKE,SILVER,Petrol,3,5125,33000,101,28/05/2019,TradeZone,SEMI-AUTO
89196,NISSAN,JUKE,ORANGE,Petrol,3,4825,45000,98,28/03/2019,PARTEX,MANUAL
9371,NISSAN,JUKE,SILVER,Petrol,4,4050,66848,94,24/02/2020,TradeZone,MANUAL
63408,NISSAN,JUKE,BLACK,Petrol,3,4200,58550,100,01/09/2016,PARTEX,MANUAL
87451,NISSAN,JUKE,BLACK,Petrol,3,5350,28600,101,16/09/2020,TradeZone,SEMI-AUTO
34765,NISSAN,JUKE,GREY,Petrol,2,5875,26106,91,05/03/2021,TradeZone,MANUAL
3645,MERCEDES-BENZ,E-CLASS,RED,Diesel,3,11950,60496,98,10/09/2020,TradeZone,MANUAL
91367,FIAT,500,GREY,Petrol,3,8700,17279,47,20/12/2021,TradeZone,AUTO
76613,DACIA,DUSTER,BLACK,Petrol,3,6575,65711,68,17/08/2019,TradeZone,MANUAL
95198,DACIA,DUSTER,WHITE,Petrol,2,6950,44122,80,29/11/2017,TradeZone,MANUAL
86316,SEAT,LEON,WHITE,Petrol,2,8200,58401,86,21/06/2019,TradeZone,SEMI-AUTO
10863,SEAT,LEON,SILVER,Petrol,2,8400,53284,81,14/06/2019,TradeZone,MANUAL
56758,SEAT,LEON,WHITE,Petrol,2,8925,42500,86,31/01/2019,OTHER,MANUAL
64988,SEAT,LEON,WHITE,Petrol,3,8900,48846,80,31/03/2017,TradeZone,MANUAL
40957,SEAT,LEON,GREEN,Petrol,2,8250,62678,80,31/07/2021,TradeZone,AUTO
43358,SEAT,LEON,GREY,Petrol,3,8600,49652,84,31/10/2016,TradeZone,SEMI-AUTO
50458,SKODA,KODIAQ,ORANGE,Petrol,1,24500,12062,26,29/06/2021,TradeZone,SEMI-AUTO
9059,SKODA,OCTAVIA,WHITE,Petrol,2,8700,44018,72,29/03/2019,TradeZone,SEMI-AUTO
88594,MERCEDES-BENZ,GLB,RED,Petrol,2,27100,27692,26,22/10/2015,PARTEX,MANUAL
17924,AUDI,A5,BLUE,Diesel,3,21450,44890,45,30/09/2019,TradeZone,MANUAL
45875,BMW,X1,BLUE,Diesel,2,8475,49028,95,24/03/2022,TradeZone,MANUAL
53149,BMW,X1,CREAM/BLACK,Diesel,4,5650,112184,104,29/09/2017,OTHER,MANUAL
99647,HONDA,JAZZ,GREY,Petrol,2,1400,99327,206,04/09/2021,TradeZone,MANUAL
3435,CUPRA,FORMENTOR,SILVER,Petrol,2,20000,17000,38,30/04/2018,TradeZone,MANUAL
21203,VOLKSWAGEN,GOLF,BLUE,Diesel,2,21500,29196,53,24/08/2019,TradeZone,MANUAL
59846,AUDI,TT,BLACK,Petrol,5,4250,76946,158,16/03/2022,TradeZone,SEMI-AUTO
46602,SEAT,LEON,WHITE,Petrol,2,9300,41249,89,30/04/2017,PARTEX,MANUAL
11685,MINI,HATCHBACK,WHITE,Petrol,8,540,127841,185,31/01/2019,TradeZone,MANUAL
45189,SKODA,KAROQ,BLACK,Diesel,1,21600,9119,13,06/10/2017,TradeZone,AUTO
97230,VOLVO,V70,BLUE,Diesel,3,5250,115684,116,28/01/2019,PARTEX,MANUAL
87340,PEUGEOT,108 TOP,GREY,Petrol,2,6025,38094,69,11/06/2019,TradeZone,SEMI-AUTO
46490,RENAULT,KADJAR,BLACK,Petrol,3,9800,48058,62,25/02/2020,TradeZone,SEMI-AUTO
44160,MAZDA,MAZDA3,BLACK,Petrol,1,12400,20955,50,05/08/2019,TradeZone,SEMI-AUTO
49864,MAZDA,MAZDA3,BLUE,Petrol,1,12800,22369,36,30/06/2018,TradeZone,SEMI-AUTO
57128,MAZDA,MAZDA3,BLUE,Petrol,1,11950,29042,43,31/05/2019,TradeZone,MANUAL
73680,MAZDA,MAZDA6,WHITE,Petrol,3,10000,51870,72,21/05/2021,TradeZone,MANUAL
98029,SKODA,OCTAVIA,GREY,Petrol,1,20000,10000,67,24/02/2022,TradeZone,SEMI-AUTO
73302,SEAT,EXEO,BLACK,Diesel,3,1775,86363,169,24/09/2020,TradeZone,MANUAL
84286,VOLVO,XC90,ORANGE,Hybrid,3,35600,26256,47,30/09/2020,TradeZone,SEMI-AUTO
32988,LAND ROVER,RANGE ROVER EVOQUE,SILVER,Diesel,3,19350,43946,64,17/09/2019,TradeZone,AUTO
51647,DACIA,LOGAN MCV,GREY,Petrol,3,3300,50000,114,30/09/2021,OTHER,MANUAL
39914,NISSAN,PIXO,SILVER,Petrol,4,1025,35864,152,27/09/2019,TradeZone,MANUAL
43522,SEAT,ATECA,GREY,Petrol,2,12800,45032,71,29/09/2017,TradeZone,MANUAL
78484,SEAT,ATECA,GREY,Petrol,2,13300,36777,70,24/06/2021,TradeZone,AUTO
18307,TOYOTA,YARIS,BLACK,Hybrid,2,9425,34000,88,23/03/2023,TradeZone,AUTO
72880,TOYOTA,YARIS,GREY,Hybrid,3,9375,39844,84,29/09/2018,TradeZone,SEMI-AUTO
97580,TOYOTA,YARIS,SILVER,Hybrid,2,8125,62953,82,31/03/2021,TradeZone,AUTO
63803,TOYOTA,YARIS,GREY,Hybrid,2,8025,54281,93,14/12/2020,TradeZone,AUTO
70746,AUDI,A7,GREY,Diesel,4,13500,68000,99,31/03/2017,TradeZone,MANUAL
37149,AUDI,A7,GREY,Diesel,1,14000,71720,90,29/09/2018,TradeZone,SEMI-AUTO
20185,SKODA,ENYAQ IV,SILVER,Electric,1,30200,2016,5,02/10/2018,TradeZone,MANUAL
51801,SKODA,ENYAQ IV,WHITE,Electric,1,29700,5000,7,30/09/2016,TradeZone,SEMI-AUTO
54674,SKODA,ENYAQ IV,WHITE,Electric,1,30000,3052,7,31/03/2021,TradeZone,AUTO
51500,SEAT,ATECA,RED,Petrol,1,15950,47000,44,31/03/2021,TradeZone,AUTO
63811,LAND ROVER,RANGE ROVER EVOQUE,BLUE,Hybrid,1,29550,26830,20,23/09/2020,TradeZone,SEMI-AUTO
72642,HONDA,CIVIC,WHITE,Petrol,3,1550,160000,200,26/10/2017,OTHER,MANUAL
35773,MITSUBISHI,OUTLANDER,BLUE,Hybrid,2,9300,63050,86,11/09/2021,TradeZone,MANUAL
32115,AUDI,A4 AVANT,WHITE,Petrol,1,22600,23009,50,31/03/2021,TradeZone,AUTO
58166,AUDI,A4 AVANT,BLUE,Petrol,1,20400,36762,52,17/05/2021,TradeZone,SEMI-AUTO
51687,AUDI,A4 AVANT,GREY,Petrol,1,20550,38223,49,09/06/2020,TradeZone,SEMI-AUTO
83611,BMW,1 SERIES,BLUE,Petrol,1,18400,14190,47,03/03/2018,TradeZone,MANUAL
85113,NISSAN,PULSAR,GREY,Petrol,3,5900,37945,102,31/05/2021,TradeZone,SEMI-AUTO
3075,FIAT,500,GREY,Petrol,4,920,126919,190,24/06/2021,TradeZone,SEMI-AUTO
47266,KIA,SPORTAGE,BLUE,Diesel,2,10300,45970,82,13/07/2021,TradeZone,SEMI-AUTO
25376,KIA,SPORTAGE,BLACK,Diesel,1,10550,50275,73,21/03/2018,PARTEX,AUTO
75276,FIAT,500X,WHITE,Petrol,3,4200,57000,113,24/02/2020,TradeZone,MANUAL
55769,FIAT,500X,WHITE,Petrol,4,4700,46000,107,31/03/2021,TradeZone,AUTO
4755,NISSAN,QASHQAI,WHITE,Petrol,4,2300,85000,180,29/06/2021,TradeZone,MANUAL
47378,AUDI,A3,GREY,Diesel,2,8250,51587,111,02/06/2021,TradeZone,AUTO
18205,MERCEDES-BENZ,GLC,BLACK,Petrol,2,20950,71000,55,15/09/2016,PARTEX,SEMI-AUTO
15440,VOLKSWAGEN,TIGUAN,BLACK,Diesel,2,8675,81462,95,30/09/2020,TradeZone,SEMI-AUTO
82262,HONDA,HR-V,GREY,Hybrid,1,26700,3419,8,31/03/2018,TradeZone,SEMI-AUTO
59881,FORD,FIESTA,WHITE,Diesel,2,1375,103414,160,27/10/2020,TradeZone,AUTO
25998,MERCEDES-BENZ,GLA,RED,Petrol,2,21600,50743,47,20/06/2017,TradeZone,MANUAL
66822,HYUNDAI,I30,SILVER,Diesel,3,1025,106992,174,30/11/2017,TradeZone,SEMI-AUTO
29090,FORD,FIESTA,GREY,Diesel,4,,83000,248,31/07/2021,TradeZone,MANUAL
89446,SKODA,OCTAVIA,GREY,Diesel,2,2700,105000,136,30/12/2019,PARTEX,MANUAL
48681,FORD,FIESTA,WHITE,Diesel,2,3450,66641,98,16/02/2018,TradeZone,SEMI-AUTO
77213,FORD,FIESTA,GREY,Diesel,2,3000,75229,109,06/02/2020,TradeZone,SEMI-AUTO
52567,RENAULT,KADJAR,GREY,Diesel,2,7075,26476,88,14/03/2018,TradeZone,AUTO
5627,RENAULT,KADJAR,GREY,Diesel,2,6025,32750,110,03/09/2021,TradeZone,MANUAL
27988,RENAULT,KADJAR,BLUE,Diesel,4,4650,83400,98,09/04/2021,TradeZone,SEMI-AUTO
52812,PEUGEOT,208,GREY,Petrol,3,3725,73278,82,31/03/2017,PARTEX,SEMI-AUTO
13838,PEUGEOT,208,BLUE,Petrol,2,5300,48923,65,08/10/2018,TradeZone,AUTO
8229,VOLKSWAGEN,UP!,RED,Petrol,2,2700,93200,116,01/09/2021,TradeZone,MANUAL
97654,KIA,RIO,BLACK,Petrol,4,1875,94000,146,30/09/2018,TradeZone,MANUAL
5908,VAUXHALL,CORSA,WHITE,Petrol,4,,51000,283,13/09/2021,TradeZone,MANUAL
27051,MINI,HATCHBACK,WHITE,Petrol,1,12900,35998,47,24/05/2021,TradeZone,AUTO
56021,MAZDA,CX-5,WHITE,Petrol,2,14750,30317,46,23/03/2020,TradeZone,MANUAL
35683,VOLVO,XC90,BLACK,Petrol,1,29100,35728,50,05/06/2018,TradeZone,MANUAL
11924,VOLVO,XC90,WHITE,Petrol,12,27650,45297,50,31/03/2021,TradeZone,AUTO
86631,VAUXHALL,ZAFIRA,BLACK,Petrol,4,520,110000,200,29/06/2021,TradeZone,MANUAL
76626,LAND ROVER,RANGE ROVER EVOQUE,BLACK,Hybrid,1,17450,57547,50,11/09/2020,TradeZone,MANUAL
922,LAND ROVER,RANGE ROVER EVOQUE,GREY,Hybrid,1,19150,34515,50,07/09/2022,TradeZone,SEMI-AUTO
39545,SUBARU,FORESTER,BLUE,Diesel,1,,110758,146,06/12/2018,OTHER,MANUAL
40700,VOLKSWAGEN,GOLF,GREY,Petrol,1,19350,10000,74,29/10/2018,TradeZone,MANUAL
26506,SKODA,OCTAVIA,YELLOW,Petrol,2,13700,12500,72,06/10/2020,TradeZone,MANUAL
35294,BMW,1 SERIES,GREY,Diesel,2,1175,230000,144,21/07/2020,TradeZone,MANUAL
52342,VAUXHALL,VIVA,RED,Petrol,4,3600,32048,92,02/11/2020,TradeZone,MANUAL
83745,VAUXHALL,MERIVA,GREY,Petrol,5,330,121638,184,28/08/2019,TradeZone,SEMI-AUTO
28351,MG,MG3,WHITE,Petrol,4,6325,34424,80,30/11/2017,TradeZone,SEMI-AUTO
89750,MG,MG3,SILVER,Petrol,3,6075,40549,77,13/09/2019,TradeZone,SEMI-AUTO
56104,CITROEN,GRAND C4 PICASSO,GREY,Diesel,4,7600,63000,104,25/02/2022,TradeZone,MANUAL
31756,AUDI,Q3,BLUE,Diesel,3,10750,78500,98,22/10/2016,PARTEX,MANUAL
7025,MINI,HATCHBACK,RED,Petrol,3,930,79218,212,07/05/2021,TradeZone,AUTO
19744,FIAT,500,RED,Petrol,6,1750,65000,158,31/03/2021,TradeZone,AUTO
7792,FIAT,500,WHITE,Petrol,2,1650,91304,127,29/05/2022,PARTEX,MANUAL
58051,VAUXHALL,ASTRA,WHITE,Petrol,3,5025,41838,89,29/09/2018,TradeZone,SEMI-AUTO
23241,AUDI,Q3,GREY,Petrol,1,25100,10200,50,30/09/2019,PARTEX,MANUAL
76565,FIAT,500X,GREY,Petrol,2,5325,35512,101,13/07/2019,TradeZone,MANUAL
93838,FORD,FOCUS,RED,Diesel,2,2650,88500,125,31/03/2021,TradeZone,AUTO
31049,FORD,FIESTA,WHITE,Petrol,8,720,132242,190,12/12/2018,TradeZone,MANUAL
35738,MERCEDES-BENZ,GLA,WHITE,Diesel,2,11350,69000,88,29/09/2018,TradeZone,SEMI-AUTO
71354,FORD,FOCUS,SILVER,Petrol,1,13700,62961,56,12/09/2019,TradeZone,SEMI-AUTO
27780,MERCEDES-BENZ,A-CLASS,WHITE,Petrol,1,14300,48939,58,30/09/2021,TradeZone,AUTO
54529,NISSAN,QASHQAI,BRONZE,Diesel,4,3875,116000,105,30/12/2019,TradeZone,MANUAL
28606,TOYOTA,AYGO X,BLUE,Petrol,1,11250,10046,26,22/02/2021,OTHER,SEMI-AUTO
20351,FORD,KUGA,RED,Diesel,1,15800,45240,37,05/03/2021,TradeZone,MANUAL
49176,VOLKSWAGEN,POLO,WHITE,Petrol,3,7900,71839,73,26/09/2019,TradeZone,SEMI-AUTO
66231,VOLKSWAGEN,POLO,GREY,Petrol,2,9775,37389,74,31/03/2017,PARTEX,MANUAL
13265,VOLKSWAGEN,POLO,WHITE,Petrol,4,9075,40605,81,09/05/2018,PARTEX,MANUAL
13598,VOLKSWAGEN,T-ROC,GREY,Petrol,2,16650,24500,51,17/07/2021,OTHER,SEMI-AUTO
79560,VOLKSWAGEN,T-ROC,WHITE,Petrol,1,17950,13808,49,21/10/2021,TradeZone,MANUAL
9918,FORD,FIESTA,GREY,Petrol,2,8275,29527,86,15/05/2021,TradeZone,MANUAL
63100,VOLVO,XC40,GREY,Petrol,1,16100,78777,50,17/09/2019,OTHER,SEMI-AUTO
52220,VOLVO,XC40,BLUE,Petrol,2,19450,35798,56,30/06/2020,TradeZone,MANUAL
98610,VOLVO,XC40,GREY,Petrol,2,23000,8454,47,12/04/2022,TradeZone,MANUAL
87010,VOLVO,XC40,SILVER,Petrol,2,19950,30955,56,30/09/2019,TradeZone,MANUAL
84827,VOLVO,XC40,RED,Petrol,2,17300,64902,49,29/09/2021,TradeZone,MANUAL
41560,RENAULT,CAPTUR,BLUE,Diesel,4,7800,38848,71,10/12/2019,TradeZone,MANUAL
34249,AUDI,SQ2,GREY,Petrol,3,22050,39950,62,29/09/2021,TradeZone,MANUAL
19513,SKODA,RAPID SPACEBACK,WHITE,Diesel,4,1825,114890,128,30/09/2017,TradeZone,MANUAL
80922,VOLVO,S90,BLUE,Diesel,2,13800,32879,76,30/04/2021,TradeZone,AUTO
47730,VAUXHALL,ASTRA GTC,BLACK,Diesel,6,1075,132520,140,08/10/2021,TradeZone,SEMI-AUTO
82429,VAUXHALL,ASTRA,GREY,Petrol,3,1275,68000,182,09/04/2021,TradeZone,MANUAL
98617,VAUXHALL,ASTRA,BLACK,Petrol,2,1625,66200,148,28/03/2018,TradeZone,MANUAL
24759,VOLKSWAGEN,T-ROC,BLACK,Petrol,1,14900,40739,50,08/09/2021,TradeZone,AUTO
35622,FORD,FIESTA,RED,Petrol,3,2750,97600,97,12/12/2017,PARTEX,MANUAL
37729,BMW,3 SERIES,RED,Diesel,1,20750,48180,38,30/06/2017,TradeZone,MANUAL
80409,BMW,3 SERIES,GREY,Diesel,4,19900,40881,56,08/04/2021,TradeZone,SEMI-AUTO
14266,FORD,FIESTA,GREY,Petrol,4,2975,42945,161,22/02/2022,OTHER,AUTO
36425,FORD,FIESTA,GREY,Petrol,3,910,143699,190,21/09/2020,PARTEX,MANUAL
45335,FORD,FIESTA,WHITE,Petrol,4,1475,102909,188,31/03/2021,TradeZone,AUTO
70278,KIA,SPORTAGE,GREY,Diesel,1,4375,114499,128,13/10/2021,TradeZone,MANUAL
37572,HONDA,CR-V,SILVER,Diesel,2,8575,59028,86,07/09/2017,TradeZone,AUTO
76653,AUDI,A3,BLACK,Petrol,1,18550,14212,50,30/11/2018,TradeZone,MANUAL
67478,MERCEDES-BENZ,A-CLASS,GREY,Petrol,2,11300,41584,87,29/09/2017,TradeZone,SEMI-AUTO
42198,VAUXHALL,ASTRA,GREY,Petrol,4,1175,72000,179,23/12/2019,TradeZone,SEMI-AUTO
43746,FORD,FIESTA,BLUE,Diesel,3,6825,44998,89,30/09/2020,TradeZone,SEMI-AUTO
15896,VOLVO,XC90,BLACK,Petrol,1,46500,15505,11,30/09/2021,OTHER,SEMI-AUTO
97566,BMW,1 SERIES,GREY,Petrol,4,2075,56728,182,25/03/2021,TradeZone,AUTO
97525,NISSAN,LEAF,GREY,Electric,2,10650,38299,47,29/03/2021,TradeZone,MANUAL
20534,FIAT,500,GREY,Petrol,2,7700,41128,73,30/04/2017,TradeZone,SEMI-AUTO
44125,FIAT,500,ORANGE,Petrol,4,7050,24000,104,13/09/2021,TradeZone,AUTO
7157,BMW,3 SERIES,SILVER,Diesel,4,3100,171643,134,23/06/2021,TradeZone,MANUAL
50598,LAND ROVER,DISCOVERY,GREY,Diesel,1,55800,5899,8,31/01/2020,PARTEX,SEMI-AUTO
94525,FORD,FIESTA,BLUE,Petrol,1,8575,31068,66,23/09/2019,TradeZone,SEMI-AUTO
7970,FORD,FIESTA,BLACK,Petrol,2,6050,68737,84,25/03/2022,TradeZone,SEMI-AUTO
60805,VOLKSWAGEN,POLO,GREY,Petrol,2,270,144712,230,11/05/2018,TradeZone,AUTO
80120,PEUGEOT,3008,GREY,Diesel,2,17250,41905,39,22/05/2019,OTHER,SEMI-AUTO
88535,PEUGEOT,3008,BLUE,Diesel,1,20100,11399,39,02/03/2018,TradeZone,MANUAL
29111,PEUGEOT,3008,GREY,Diesel,1,17050,47186,38,15/09/2017,TradeZone,AUTO
27142,DS,DS 3 CROSSBACK,GREY,Electric,1,10900,17185,48,17/05/2021,TradeZone,MANUAL
81028,SKODA,FABIA,GREY,Petrol,1,8250,25345,89,24/11/2020,TradeZone,SEMI-AUTO
10051,FORD,PUMA,BLUE,Petrol,1,19700,8939,36,12/02/2021,TradeZone,MANUAL
7989,DACIA,JOGGER,BLACK,Petrol,1,14000,12214,27,10/10/2019,TradeZone,MANUAL
