V_NO,MAKE,MODEL,COLOUR,FUEL_TYPE,REGISTERED_KEEPERS,CAPCLEAN,ODOMETER_MILES,VEHICLE_AGE__MONTHS,REGISTRATION_DATE,VEHICLE_SOURCE,TRANSMISSION_TYPE
88437,AUDI,A3,BLACK,Petrol,1,17800,32165,55,22/04/2021,TradeZone,MANUAL
88283,VOLKSWAGEN,UP!,BLUE,Petrol,1,12250,16329,77,02/12/2020,TradeZone,MANUAL
51190,TOYOTA,AURIS,BLUE,Petrol,10,1625,95000,216,11/10/2021,TradeZone,AUTO
48391,VOLKSWAGEN,GOLF PLUS,SILVER,Diesel,4,1200,143000,154,25/10/2021,TradeZone,MANUAL
50990,FORD,FOCUS,GREY,Diesel,1,12500,33447,54,03/11/2021,TradeZone,AUTO
69697,FORD,FIESTA,GREY,Petrol,2,1100,105300,182,15/10/2021,OTHER,SEMI-AUTO
86846,PEUGEOT,308,BLACK,Petrol,2,7575,17670,66,30/09/2022,TradeZone,MANUAL
63262,KIA,XCEED,WHITE,Petrol,1,15750,19000,31,26/06/2018,TradeZone,MANUAL
42129,LAND ROVER,DISCOVERY SPORT,RED,Diesel,1,17300,56000,50,08/05/2019,TradeZone,MANUAL
72333,LAND ROVER,RANGE ROVER VELAR,GREY,Diesel,1,26950,37708,41,03/11/2020,TradeZone,AUTO
54139,LAND ROVER,RANGE ROVER VELAR,WHITE,Diesel,1,24650,66200,37,01/09/2018,TradeZone,SEMI-AUTO
84259,RENAULT,CLIO,WHITE,Petrol,3,5125,51738,86,27/11/2019,TradeZone,MANUAL
7611,RENAULT,CLIO,RED,Petrol,2,4425,65900,92,05/05/2021,TradeZone,MANUAL
69049,FORD,FIESTA,GREY,Petrol,2,2675,109669,116,04/08/2022,TradeZone,MANUAL
60595,FORD,FIESTA,BLUE,Petrol,2,3500,79000,122,18/12/2020,TradeZone,MANUAL
57805,BMW,4 SERIES,GREY,Petrol,2,11250,59316,84,31/01/2022,TradeZone,MANUAL
67794,FORD,FOCUS,BLACK,Petrol,3,6325,38018,120,26/09/2019,TradeZone,MANUAL
95307,PEUGEOT,3008,WHITE,Petrol,2,11800,60260,66,31/10/2019,TradeZone,MANUAL
76680,PEUGEOT,3008,WHITE,Petrol,2,15350,19251,63,25/09/2020,TradeZone,AUTO
23687,PEUGEOT,3008,WHITE,Petrol,1,15200,24811,58,29/03/2018,TradeZone,SEMI-AUTO
26903,PEUGEOT,3008,WHITE,Petrol,2,12550,52164,64,22/03/2018,TradeZone,MANUAL
3651,AUDI,Q3,BLUE,Petrol,2,28400,18128,44,13/03/2019,TradeZone,SEMI-AUTO
27303,SKODA,OCTAVIA,BLACK,Diesel,1,10850,75988,45,13/03/2019,TradeZone,AUTO
62992,SKODA,OCTAVIA,WHITE,Diesel,1,15200,22565,45,11/06/2021,OTHER,SEMI-AUTO
11660,SKODA,OCTAVIA,GREY,Diesel,1,14300,31422,45,22/08/2019,TradeZone,MANUAL
65615,SKODA,OCTAVIA,GREY,Diesel,1,15000,24976,45,03/08/2020,TradeZone,SEMI-AUTO
62184,RENAULT,CAPTUR,WHITE,Petrol,2,10050,22588,59,12/08/2020,PARTEX,MANUAL
98373,RENAULT,CAPTUR,GREY,Petrol,2,9200,39487,57,24/01/2019,TradeZone,MANUAL
78267,KIA,CEED,BLUE,Diesel,2,2375,95000,140,16/07/2019,TradeZone,SEMI-AUTO
69799,KIA,CEED,GREY,Diesel,5,2150,101200,144,27/05/2021,TradeZone,MANUAL
66018,VAUXHALL,CORSA,YELLOW,Petrol,4,2025,58350,143,30/10/2019,TradeZone,AUTO
40910,MERCEDES-BENZ,C-CLASS,GREY,Petrol,4,8625,89000,115,15/11/2019,TradeZone,MANUAL
5766,LAND ROVER,RANGE ROVER SPORT,BLUE,Hybrid,1,28300,38267,50,11/10/2021,TradeZone,MANUAL
10193,VAUXHALL,CROSSLAND X,BLACK,Petrol,2,7750,24600,66,31/03/2017,PARTEX,MANUAL
81949,LAND ROVER,RANGE ROVER EVOQUE,RED,Petrol,2,19950,38840,53,10/06/2020,TradeZone,SEMI-AUTO
10417,LAND ROVER,RANGE ROVER EVOQUE,BLACK,Petrol,2,22600,23000,34,30/06/2021,TradeZone,AUTO
60937,BMW,IX,BLACK,Electric,1,37800,50817,38,21/09/2018,PARTEX,SEMI-AUTO
60194,FORD,KA,WHITE,Petrol,1,2700,48000,112,08/09/2020,TradeZone,MANUAL
14206,FIAT,500,WHITE,Petrol,2,9350,17302,38,07/06/2022,TradeZone,MANUAL
70322,LEXUS,IS,SILVER,Hybrid,2,13100,63599,98,11/11/2021,TradeZone,AUTO
61515,NISSAN,QASHQAI,RED,Petrol,2,5475,70000,97,06/08/2020,TradeZone,SEMI-AUTO
75692,VOLVO,XC40,WHITE,Electric,2,21400,25993,28,04/12/2017,TradeZone,SEMI-AUTO
87304,MERCEDES-BENZ,CLA,BLACK,Petrol,3,6275,77000,130,26/04/2016,TradeZone,AUTO
91322,SEAT,LEON,WHITE,Hybrid,1,14150,30939,44,31/03/2018,TradeZone,MANUAL
26054,NISSAN,QASHQAI,GREY,Petrol,3,1700,128031,163,28/06/2019,OTHER,MANUAL
89079,LAND ROVER,DISCOVERY SPORT,WHITE,Diesel,1,19200,48911,50,11/04/2023,TradeZone,MANUAL
15047,LAND ROVER,DISCOVERY SPORT,BLUE,Diesel,1,21650,19133,49,24/09/2018,TradeZone,MANUAL
25113,VAUXHALL,MOKKA-E,BLACK,Electric,2,13800,12174,26,10/05/2021,TradeZone,AUTO
74672,VAUXHALL,MOKKA-E,GREY,Electric,3,13350,13180,29,05/09/2018,TradeZone,SEMI-AUTO
56023,MAZDA,CX-5,GREY,Diesel,2,2200,119400,132,06/09/2021,TradeZone,MANUAL
