V_NO,MAKE,MODEL,COLOUR,BODY_TYPE,FUEL_TYPE,MMAF,MMA,MM,VEHICLE_TRIM,REGISTRATION_DATE,VEHICLE_SOURCE,TRANSMISSION_TYPE,CAP_CLEAN,VEHICLE_AGE__MONTHS,REGISTERED_KEEPERS,ODOMETER_MILES,ACTUAL_REFURB_COST
9766,CITROEN,C4 CACTUS,BLACK,SUV,Petrol,CITROENC4 CACTUS8 Years OldPETROL,CITROENC4 CACTUS8 Years Old,CITROENC4 CACTUS,FEEL,20/03/2017,PARTEX,MANUAL,3575,93.033333,4,75769,781.34
1668,KIA,PICANTO,BLUE,Hatchback,Petrol,KIAPICANTO6 Years OldPETROL,KIAPICANTO6 Years Old,KIAPICANTO,2,19/09/2018,TradeZone,MANUAL,6625,77.933333,2,16015,587.48
1393,VOLKSWAGEN,POLO,WHITE,Hatchback,Petrol,VOLKSWAGENPOLO4 Years OldPETROL,VOLKSWAGENPOLO4 Years Old,VOLKSWAGENPOLO,MATCH,21/09/2020,TradeZone,MANUAL,10800,53.766667,2,45718,1263.591
8178,AUDI,Q5,GREY,SUV,Petrol,AUDIQ54 Years OldPETROL,AUDIQ54 Years Old,AUDIQ5,SPORT,31/01/2021,TradeZone,SEMI-AUTO,26000,47.666667,1,24433,654.476
9920,SUZUKI,VITARA,GREY,SUV,Petrol,SUZUKIVITARA7 Years OldPETROL,SUZUKIVITARA7 Years Old,SUZUKIVITARA,SZ-T,26/01/2017,PARTEX,MANUAL,8200,94.133333,1,12000,459.7
7691,BMW,3 SERIES,BLUE,Estate,Diesel,BMW3 SERIES7 Years OldDIESEL,BMW3 SERIES7 Years Old,BMW3 SERIES,M SPORT,22/12/2017,PARTEX,SEMI-AUTO,11200,87.6,2,75226,708.442
1913,PEUGEOT,208,BLUE,Hatchback,Petrol,PEUGEOT2084 Years OldPETROL,PEUGEOT2084 Years Old,PEUGEOT208,TECH EDITION,30/12/2019,TradeZone,MANUAL,6125,58.1,2,36173,869.221
8642,MERCEDES-BENZ,C-CLASS,GREY,Saloon,Diesel,MERCEDES-BENZC-CLASS9+ Years OldDIESEL,MERCEDES-BENZC-CLASS9+ Years Old,MERCEDES-BENZC-CLASS,SE,29/03/2016,PARTEX,SEMI-AUTO,8325,109.033333,3,68526,796.02
6178,AUDI,A3,BLACK,Hatchback,Petrol,AUDIA33 Years OldPETROL,AUDIA33 Years Old,AUDIA3,S LINE,11/03/2022,TradeZone,SEMI-AUTO,20500,34.533333,2,37392,498.18899999999996
5166,FORD,FOCUS,BLUE,Hatchback,Petrol,FORDFOCUS7 Years OldPETROL,FORDFOCUS7 Years Old,FORDFOCUS,TITANIUM,11/09/2017,PARTEX,SEMI-AUTO,5200,88.166667,2,60149,681.571
