V_NO,MAKE,MODEL,COLOUR,BODY_TYPE,FUEL_TYPE,MMAF,MMA,MM,VEHICLE_TRIM,REGISTRATION_DATE,VEHICLE_SOURCE,TRANSMISSION_TYPE,CAP_CLEAN,VEHICLE_AGE__MONTHS,REGISTERED_KEEPERS,ODOMETER_MILES,ACTUAL_REFURB_COST
824,RENAULT,CLIO,BLUE,Hatchback,Petrol,RENAULTCLIO5 Years OldPETROL,RENAULTCLIO5 Years Old,RENAULTCLIO,ICONIC,20/05/2019,TradeZone,MANUAL,6675,64.233333,2,38778,615.61
7574,RENAULT,CLIO,BLACK,Hatchback,Petrol,RENAULTCLIO8 Years OldPETROL,RENAULTCLIO8 Years Old,RENAULTCLIO,DYNAMIQUE NAV,28/06/2016,TradeZone,MANUAL,4700,102.533333,3,34058,672.46
7715,RENAULT,CLIO,RED,Hatchback,Diesel,RENAULTCLIO4 Years OldDIESEL,RENAULTCLIO4 Years Old,RENAULTCLIO,ICONIC,09/05/2019,TradeZone,MANUAL,7100,61.033333,3,40132,1299.144
5988,MERCEDES-BENZ,C-CLASS,BLACK,Coupe,Diesel,MERCEDES-BENZC-CLASS7 Years OldDIESEL,MERCEDES-BENZC-CLASS7 Years Old,MERCEDES-BENZC-CLASS,AMG LINE,11/09/2017,TradeZone,SEMI-AUTO,14200,87.833333,2,62312,1068.49
9547,KIA,SPORTAGE,BLUE,SUV,Petrol,KIASPORTAGE4 Years OldPETROL,KIASPORTAGE4 Years Old,KIASPORTAGE,GT-LINE,08/06/2020,TradeZone,MANUAL,15400,48.766667,1,27359,902.378
5212,BMW,3 SERIES,BLACK,Saloon,Petrol,BMW3 SERIES3 Years OldPETROL,BMW3 SERIES3 Years Old,BMW3 SERIES,M SPORT,30/04/2021,TradeZone,SEMI-AUTO,19850,36.6,1,45434,287.9
5830,AUDI,A1,GREY,Hatchback,Petrol,AUDIA15 Years OldPETROL,AUDIA15 Years Old,AUDIA1,S LINE,09/02/2019,TradeZone,MANUAL,13950,66.866667,2,30284,372.46
1813,VAUXHALL,INSIGNIA GRAND SPORT,SILVER,Hatchback,Petrol,VAUXHALLINSIGNIA GRAND SPORT6 Years OldPETROL,VAUXHALLINSIGNIA GRAND SPORT6 Years Old,VAUXHALLINSIGNIA GRAND SPORT,SRI,27/06/2018,TradeZone,MANUAL,7650,74.433333,4,49434,313.57
9380,LAND ROVER,RANGE ROVER EVOQUE,WHITE,SUV,Diesel,LAND ROVERRANGE ROVER EVOQUE5 Years OldDIESEL,LAND ROVERRANGE ROVER EVOQUE5 Years Old,LAND ROVERRANGE ROVER EVOQUE,R-DYNAMIC SE,30/06/2019,TradeZone,AUTO,22100,63.3,2,19253,1282.52
6316,BMW,3 SERIES,GREY,Saloon,Petrol,BMW3 SERIES3 Years OldPETROL,BMW3 SERIES3 Years Old,BMW3 SERIES,M SPORT,29/09/2021,TradeZone,SEMI-AUTO,20550,36.8,1,41878,602.86
2431,JAGUAR,I-PACE,RED,SUV,Electric,JAGUARI-PACE5 Years OldELECTRIC,JAGUARI-PACE5 Years Old,JAGUARI-PACE,SE,26/07/2019,TradeZone,AUTO,15300,61.133333,1,52089,507.6
9830,JAGUAR,XF,RED,Saloon,Diesel,JAGUARXF8 Years OldDIESEL,JAGUARXF8 Years Old,JAGUARXF,PORTFOLIO,23/03/2017,PARTEX,AUTO,6850,96.9,3,69657,247.29
7832,BMW,2 SERIES GRAN COUPE,WHITE,Saloon,Petrol,BMW2 SERIES GRAN COUPE3 Years OldPETROL,BMW2 SERIES GRAN COUPE3 Years Old,BMW2 SERIES GRAN COUPE,M SPORT,29/07/2021,OTHER,SEMI-AUTO,17800,42.266667,2,27178,1037.6399999999999
6287,AUDI,A4 AVANT,GREY,Estate,Petrol,AUDIA4 AVANT5 Years OldPETROL,AUDIA4 AVANT5 Years Old,AUDIA4 AVANT,S LINE,01/02/2019,TradeZone,SEMI-AUTO,13900,67.4,1,73054,816.4599999999999
5510,VOLVO,V40,SILVER,Hatchback,Diesel,VOLVOV408 Years OldDIESEL,VOLVOV408 Years Old,VOLVOV40,CROSS COUNTRY PRO,31/01/2017,TradeZone,MANUAL,8700,98.766667,2,39274,1039.42
7997,JAGUAR,E-PACE,GREY,SUV,Diesel,JAGUARE-PACE5 Years OldDIESEL,JAGUARE-PACE5 Years Old,JAGUARE-PACE,R-DYNAMIC S,07/03/2019,TradeZone,MANUAL,12500,67.466667,1,62127,1257.11
8706,RENAULT,CAPTUR,RED,SUV,Petrol,RENAULTCAPTUR6 Years OldPETROL,RENAULTCAPTUR6 Years Old,RENAULTCAPTUR,DYNAMIQUE S NAV,01/03/2018,TradeZone,MANUAL,7400,76.333333,2,24444,1311.73
3437,SUZUKI,SWIFT,GREY,Hatchback,Petrol,SUZUKISWIFT6 Years OldPETROL,SUZUKISWIFT6 Years Old,SUZUKISWIFT,SZ3,21/09/2018,TradeZone,MANUAL,6975,75.933333,2,20231,636.023
9066,SEAT,LEON,BLACK,Hatchback,Petrol,SEATLEON5 Years OldPETROL,SEATLEON5 Years Old,SEATLEON,FR SPORT,28/06/2019,TradeZone,MANUAL,10500,61.133333,1,55124,27.3
701,NISSAN,QASHQAI,WHITE,SUV,Petrol,NISSANQASHQAI5 Years OldPETROL,NISSANQASHQAI5 Years Old,NISSANQASHQAI,Tekna                                             ,31/10/2019,TradeZone,MANUAL,14100,58.233333,2,12053,854.165
9000,VOLKSWAGEN,GOLF,BLACK,Hatchback,Petrol,VOLKSWAGENGOLF4 Years OldPETROL,VOLKSWAGENGOLF4 Years Old,VOLKSWAGENGOLF,LIFE,31/03/2021,PARTEX,SEMI-AUTO,13650,47.3,1,37663,668.591
5753,BMW,5 SERIES,BLUE,Saloon,Diesel,BMW5 SERIES3 Years OldDIESEL,BMW5 SERIES3 Years Old,BMW5 SERIES,M SPORT,29/01/2021,TradeZone,SEMI-AUTO,24350,40.333333,1,22943,322.78
8027,MG,ZS,WHITE,SUV,Petrol,MGZS3 Years OldPETROL,MGZS3 Years Old,MGZS,EXCLUSIVE,30/04/2021,PARTEX,MANUAL,11000,45.833333,1,28184,1093.1399999999999
6226,RENAULT,CAPTUR,BLUE,SUV,Petrol,RENAULTCAPTUR6 Years OldPETROL,RENAULTCAPTUR6 Years Old,RENAULTCAPTUR,ICONIC,01/09/2018,PARTEX,MANUAL,7225,72.966667,4,32609,1166.28
6635,HONDA,CIVIC,RED,Hatchback,Petrol,HONDACIVIC6 Years OldPETROL,HONDACIVIC6 Years Old,HONDACIVIC,SR,20/07/2018,TradeZone,MANUAL,9625,71.8,2,54696,484.87
2646,FIAT,500,BLACK,Hatchback,Petrol,FIAT5003 Years OldPETROL,FIAT5003 Years Old,FIAT500,DOLCEVITA,31/05/2021,TradeZone,MANUAL,8625,38.866667,1,12753,673.49
9329,MINI,COUNTRYMAN,GREEN,SUV,Diesel,MINICOUNTRYMAN5 Years OldDIESEL,MINICOUNTRYMAN5 Years Old,MINICOUNTRYMAN,COOPER,23/07/2018,OTHER,SEMI-AUTO,11850,70.7,2,45054,407.339
289,MAZDA,CX-5,BLACK,SUV,Petrol,MAZDACX-55 Years OldPETROL,MAZDACX-55 Years Old,MAZDACX-5,SPORT NAV+,28/06/2019,TradeZone,MANUAL,13850,60.133333,2,61958,751.5
5834,MG,ZS,WHITE,SUV,Petrol,MGZS3 Years OldPETROL,MGZS3 Years Old,MGZS,EXCLUSIVE,05/10/2021,TradeZone,SEMI-AUTO,13650,36.833333,1,16424,1679.834
9759,BMW,3 SERIES,BLACK,Saloon,Petrol,BMW3 SERIES3 Years OldPETROL,BMW3 SERIES3 Years Old,BMW3 SERIES,M SPORT,24/09/2021,TradeZone,SEMI-AUTO,22850,36.533333,1,20823,196.68
9118,SEAT,LEON,GREY,Hatchback,Hybrid,SEATLEON3 Years OldPETROLPLUGINELECTRICHYBRID,SEATLEON3 Years Old,SEATLEON,FR,27/07/2021,TradeZone,SEMI-AUTO,11800,40.9,1,62923,283.87
2543,BMW,3 SERIES,BLUE,Saloon,Petrol,BMW3 SERIES3 Years OldPETROL,BMW3 SERIES3 Years Old,BMW3 SERIES,M SPORT,31/05/2021,TradeZone,SEMI-AUTO,23250,37.666667,1,14414,515.17
1761,TOYOTA,AYGO,WHITE,Hatchback,Petrol,TOYOTAAYGO3 Years OldPETROL,TOYOTAAYGO3 Years Old,TOYOTAAYGO,X-TREND,30/06/2021,TradeZone,SEMI-AUTO,9950,38.966667,1,39477,930.53
4582,SKODA,FABIA,RED,Hatchback,Petrol,SKODAFABIA5 Years OldPETROL,SKODAFABIA5 Years Old,SKODAFABIA,SE,30/05/2019,TradeZone,MANUAL,7550,65.566667,2,28876,601.35
692,RENAULT,KADJAR,GREY,SUV,Petrol,RENAULTKADJAR5 Years OldPETROL,RENAULTKADJAR5 Years Old,RENAULTKADJAR,S EDITION,19/12/2019,PARTEX,MANUAL,11800,59.333333,2,19666,267.86
362,JAGUAR,F-PACE,GREY,SUV,Diesel,JAGUARF-PACE6 Years OldDIESEL,JAGUARF-PACE6 Years Old,JAGUARF-PACE,R-SPORT,20/07/2018,TradeZone,AUTO,16300,75.466667,3,49824,376.33
1777,KIA,SPORTAGE,BLACK,SUV,Diesel,KIASPORTAGE5 Years OldDIESEL,KIASPORTAGE5 Years Old,KIASPORTAGE,4,21/06/2019,TradeZone,AUTO,14100,61.266667,1,56138,708.64
6153,BMW,4 SERIES GRAN COUPE,BLACK,Hatchback,Petrol,BMW4 SERIES GRAN COUPE5 Years OldPETROL,BMW4 SERIES GRAN COUPE5 Years Old,BMW4 SERIES GRAN COUPE,M SPORT,31/12/2019,TradeZone,SEMI-AUTO,17600,63.033333,1,18017,2058.23
4153,RENAULT,CAPTUR,GREY,SUV,Hybrid,RENAULTCAPTUR1 Years OldPETROLELECTRICHYBRID,RENAULTCAPTUR1 Years Old,RENAULTCAPTUR,R.S. LINE,01/09/2022,TradeZone,AUTO,17350,20.666667,1,20278,314.78
3891,AUDI,A1,BLUE,Hatchback,Petrol,AUDIA13 Years OldPETROL,AUDIA13 Years Old,AUDIA1,S LINE,12/08/2021,TradeZone,SEMI-AUTO,18800,35.866667,1,23830,387.51099999999997
8557,MAZDA,MAZDA3,BLUE,Hatchback,Petrol,MAZDAMAZDA33 Years OldPETROL,MAZDAMAZDA33 Years Old,MAZDAMAZDA3,SPORT LUX,19/03/2021,TradeZone,MANUAL,14200,47.066667,1,26384,1020
13,MINI,COUNTRYMAN,GREY,SUV,Petrol,MINICOUNTRYMAN5 Years OldPETROL,MINICOUNTRYMAN5 Years Old,MINICOUNTRYMAN,COOPER,20/09/2018,TradeZone,MANUAL,12700,70.133333,2,36406,1013.088
7830,TOYOTA,AYGO X,BLUE,Hatchback,Petrol,TOYOTAAYGO X2 Years OldPETROL,TOYOTAAYGO X2 Years Old,TOYOTAAYGO X,EDGE,26/09/2022,TradeZone,MANUAL,12100,21.466667,2,9882,630.482
2382,SKODA,FABIA,GREY,Hatchback,Petrol,SKODAFABIA5 Years OldPETROL,SKODAFABIA5 Years Old,SKODAFABIA,SE,26/07/2019,PARTEX,MANUAL,7900,66.766667,2,33115,349.587
425,JAGUAR,E-PACE,BLACK,SUV,Hybrid,JAGUARE-PACE3 Years OldPETROLPLUGINELECTRICHYBRID,JAGUARE-PACE3 Years Old,JAGUARE-PACE,R-DYNAMIC SE,30/07/2021,TradeZone,AUTO,24500,37.466667,2,49072,657.189
587,NISSAN,QASHQAI,RED,SUV,Petrol,NISSANQASHQAI5 Years OldPETROL,NISSANQASHQAI5 Years Old,NISSANQASHQAI,N-CONNECTA,28/06/2019,TradeZone,MANUAL,13550,62.766667,2,14956,1046.953
1491,NISSAN,QASHQAI,BLACK,SUV,Petrol,NISSANQASHQAI4 Years OldPETROL,NISSANQASHQAI4 Years Old,NISSANQASHQAI,ACENTA PREMIUM,30/01/2020,TradeZone,MANUAL,11150,54.033333,2,33401,331.74
4221,ABARTH,595,GREY,Hatchback,Petrol,ABARTH5955 Years OldPETROL,ABARTH5955 Years Old,ABARTH595,TURISMO 70TH ANNIVERSARY,28/06/2019,TradeZone,MANUAL,11300,60.133333,4,17688,1248.161
1415,MERCEDES-BENZ,GLC COUPE,BLACK,SUV,Petrol,MERCEDES-BENZGLC COUPE4 Years OldPETROL,MERCEDES-BENZGLC COUPE4 Years Old,MERCEDES-BENZGLC COUPE,AMG LINE,19/03/2019,PARTEX,SEMI-AUTO,21850,70.8,2,55301,26.313000000000002
3933,VOLKSWAGEN,POLO,WHITE,Hatchback,Petrol,VOLKSWAGENPOLO6 Years OldPETROL,VOLKSWAGENPOLO6 Years Old,VOLKSWAGENPOLO,SE,01/09/2018,PARTEX,MANUAL,10400,76.933333,1,19216,254.98999999999998
7479,SEAT,ATECA,BLACK,SUV,Diesel,SEATATECA3 Years OldDIESEL,SEATATECA3 Years Old,SEATATECA,SE,22/09/2021,TradeZone,MANUAL,14900,37.566667,1,48922,626.82
6014,NISSAN,QASHQAI,RED,SUV,Diesel,NISSANQASHQAI7 Years OldDIESEL,NISSANQASHQAI7 Years Old,NISSANQASHQAI,N-CONNECTA,31/10/2017,PARTEX,MANUAL,8125,89.233333,2,63055,892.0369999999999
9643,FORD,FOCUS,GREY,Hatchback,Petrol,FORDFOCUS5 Years OldPETROL,FORDFOCUS5 Years Old,FORDFOCUS,ACTIVE,31/05/2019,TradeZone,MANUAL,9575,63.133333,2,53411,1025.794
35,AUDI,A1,WHITE,Hatchback,Petrol,AUDIA13 Years OldPETROL,AUDIA13 Years Old,AUDIA1,TECHNIK,08/09/2020,TradeZone,MANUAL,15050,45.933333,1,13656,372.88
9586,JAGUAR,I-PACE,BLACK,SUV,Electric,JAGUARI-PACE3 Years OldELECTRIC,JAGUARI-PACE3 Years Old,JAGUARI-PACE,HSE,21/07/2021,TradeZone,AUTO,23750,39.433333,2,19226,309.758
6403,AUDI,Q3,GREY,SUV,Petrol,AUDIQ36 Years OldPETROL,AUDIQ36 Years Old,AUDIQ3,BLACK EDITION,24/08/2018,TradeZone,SEMI-AUTO,14350,78.4,2,55596,501.45000000000005
4979,PEUGEOT,5008,WHITE,SUV,Diesel,PEUGEOT50086 Years OldDIESEL,PEUGEOT50086 Years Old,PEUGEOT5008,GT LINE,25/10/2018,TradeZone,SEMI-AUTO,14850,74.2,2,54065,483.46999999999997
9391,MG,ZS EV,BLUE,SUV,Electric,MGZS EV2 Years OldELECTRIC,MGZS EV2 Years Old,MGZS EV,SE EV,07/02/2022,TradeZone,AUTO,14300,27.3,1,24354,305.604
9032,SKODA,KAROQ,GREY,SUV,Petrol,SKODAKAROQ5 Years OldPETROL,SKODAKAROQ5 Years Old,SKODAKAROQ,SE L,14/11/2019,TradeZone,MANUAL,12250,61.133333,2,63244,1398.6599999999999
6204,BMW,2 SERIES GRAN COUPE,GREY,Saloon,Petrol,BMW2 SERIES GRAN COUPE3 Years OldPETROL,BMW2 SERIES GRAN COUPE3 Years Old,BMW2 SERIES GRAN COUPE,M235I,26/07/2021,TradeZone,SEMI-AUTO,21100,37.1,1,48798,515.13
1408,RENAULT,CAPTUR,CREAM,SUV,Diesel,RENAULTCAPTUR6 Years OldDIESEL,RENAULTCAPTUR6 Years Old,RENAULTCAPTUR,DYNAMIQUE S NAV,01/03/2018,TradeZone,MANUAL,8075,83.8,3,24132,768.526
9014,LAND ROVER,RANGE ROVER EVOQUE,WHITE,SUV,Diesel,LAND ROVERRANGE ROVER EVOQUE3 Years OldDIESEL,LAND ROVERRANGE ROVER EVOQUE3 Years Old,LAND ROVERRANGE ROVER EVOQUE,R-DYNAMIC S,30/08/2021,TradeZone,MANUAL,21700,37.233333,2,27967,902.06
4565,SKODA,ENYAQ IV,BLUE,SUV,Electric,SKODAENYAQ IV3 Years OldELECTRIC,SKODAENYAQ IV3 Years Old,SKODAENYAQ IV,60 ECOSUITE,23/07/2021,TradeZone,AUTO,18750,37.433333,1,17694,764.517
5179,FORD,FIESTA,BLUE,Hatchback,Petrol,FORDFIESTA5 Years OldPETROL,FORDFIESTA5 Years Old,FORDFIESTA,ST-LINE X,30/04/2019,TradeZone,MANUAL,10600,65.333333,1,13193,1091.5710000000001
2603,BMW,2 SERIES GRAN COUPE,GREY,Saloon,Petrol,BMW2 SERIES GRAN COUPE3 Years OldPETROL,BMW2 SERIES GRAN COUPE3 Years Old,BMW2 SERIES GRAN COUPE,M SPORT,30/06/2021,TradeZone,MANUAL,17300,40.633333,1,33378,349.19
8102,MINI,COUNTRYMAN,RED,SUV,Hybrid,MINICOUNTRYMAN4 Years OldPETROLPLUGINELECTRICHYBRID,MINICOUNTRYMAN4 Years Old,MINICOUNTRYMAN,COOPER S E CLASSIC,16/09/2020,TradeZone,SEMI-AUTO,18000,48.766667,1,21377,857.8399999999999
3109,KIA,VENGA,SILVER,MPV,Petrol,KIAVENGA6 Years OldPETROL,KIAVENGA6 Years Old,KIAVENGA,4,13/02/2018,TradeZone,AUTO,9900,76.1,2,20535,887.12
2750,AUDI,A1,BLUE,Hatchback,Petrol,AUDIA15 Years OldPETROL,AUDIA15 Years Old,AUDIA1,SPORT,25/06/2019,TradeZone,SEMI-AUTO,12200,62.866667,3,65392,1068.84
8732,RENAULT,CLIO,BLACK,Hatchback,Petrol,RENAULTCLIO5 Years OldPETROL,RENAULTCLIO5 Years Old,RENAULTCLIO,ICONIC,16/05/2019,PARTEX,MANUAL,5600,70.733333,2,62980,465.358
8245,HYUNDAI,IONIQ,BLUE,Hatchback,Hybrid,HYUNDAIIONIQ6 Years OldPETROLELECTRICHYBRID,HYUNDAIIONIQ6 Years Old,HYUNDAIIONIQ,SE,22/01/2019,TradeZone,AUTO,8625,73.566667,1,67015,458.73199999999997
7921,MAZDA,CX-5,BLUE,SUV,Petrol,MAZDACX-55 Years OldPETROL,MAZDACX-55 Years Old,MAZDACX-5,SE-L NAV+,25/04/2019,TradeZone,AUTO,16000,64.366667,1,24978,458.219
1002,PEUGEOT,E-208,BLUE,Hatchback,Electric,PEUGEOTE-2083 Years OldELECTRIC,PEUGEOTE-2083 Years Old,PEUGEOTE-208,GT,29/06/2021,TradeZone,AUTO,11000,38,1,29108,463.677
4794,BMW,3 SERIES,BLACK,Saloon,Hybrid,BMW3 SERIES3 Years OldPETROLPLUGINELECTRICHYBRID,BMW3 SERIES3 Years Old,BMW3 SERIES,M SPORT,12/08/2021,TradeZone,SEMI-AUTO,23300,37.066667,1,16268,685.858
3526,LAND ROVER,DISCOVERY SPORT,GREY,SUV,Diesel,LAND ROVERDISCOVERY SPORT5 Years OldDIESEL,LAND ROVERDISCOVERY SPORT5 Years Old,LAND ROVERDISCOVERY SPORT,HSE,14/11/2018,TradeZone,MANUAL,12700,68.633333,2,28632,1285.841
7454,AUDI,Q3,BLACK,SUV,Petrol,AUDIQ33 Years OldPETROL,AUDIQ33 Years Old,AUDIQ3,BLACK EDITION,30/07/2021,OTHER,SEMI-AUTO,24900,39.666667,2,24181,368.94
1374,PEUGEOT,E-208,YELLOW,Hatchback,Electric,PEUGEOTE-2083 Years OldELECTRIC,PEUGEOTE-2083 Years Old,PEUGEOTE-208,GT,30/06/2021,TradeZone,AUTO,12800,36.333333,1,12806,440.81
4312,MINI,HATCHBACK,BLACK,Hatchback,Petrol,MINIHATCHBACK4 Years OldPETROL,MINIHATCHBACK4 Years Old,MINIHATCHBACK,COOPER CLASSIC,30/09/2020,TradeZone,SEMI-AUTO,13650,53.833333,1,17816,886.99
2351,FORD,PUMA,BLUE,SUV,Petrol,FORDPUMA3 Years OldPETROL,FORDPUMA3 Years Old,FORDPUMA,ST-LINE X,21/04/2021,OTHER,MANUAL,13650,37.633333,1,48957,942.133
7150,JEEP,RENEGADE,GREY,SUV,Petrol,JEEPRENEGADE2 Years OldPETROL,JEEPRENEGADE2 Years Old,JEEPRENEGADE,NIGHT EAGLE II,02/03/2022,TradeZone,MANUAL,14500,26.966667,1,19138,565.602
5529,RENAULT,CAPTUR,RED,SUV,Petrol,RENAULTCAPTUR6 Years OldPETROL,RENAULTCAPTUR6 Years Old,RENAULTCAPTUR,ICONIC,29/06/2018,PARTEX,MANUAL,5575,77,4,69785,412.89099999999996
2853,SEAT,LEON,BLACK,Hatchback,Petrol,SEATLEON4 Years OldPETROL,SEATLEON4 Years Old,SEATLEON,FR BLACK EDITION,05/03/2020,TradeZone,MANUAL,12550,53.333333,1,32326,521.125
3256,SKODA,SUPERB,BLACK,Estate,Hybrid,SKODASUPERB4 Years OldPETROLPLUGINELECTRICHYBRID,SKODASUPERB4 Years Old,SKODASUPERB,SE L,19/03/2021,OTHER,SEMI-AUTO,14600,46.9,2,63709,777.46
3971,RENAULT,CAPTUR,GREY,SUV,Petrol,RENAULTCAPTUR6 Years OldPETROL,RENAULTCAPTUR6 Years Old,RENAULTCAPTUR,DYNAMIQUE S NAV,13/02/2018,TradeZone,MANUAL,6600,77.666667,2,39820,425.56
7088,MAZDA,MX-5,BLUE,Convertible,Petrol,MAZDAMX-53 Years OldPETROL,MAZDAMX-53 Years Old,MAZDAMX-5,SPORT VENTURE,12/08/2021,TradeZone,MANUAL,17100,36.433333,1,14252,835.3729999999999
3595,BMW,4 SERIES GRAN COUPE,BLUE,Hatchback,Petrol,BMW4 SERIES GRAN COUPE7 Years OldPETROL,BMW4 SERIES GRAN COUPE7 Years Old,BMW4 SERIES GRAN COUPE,LUXURY,26/09/2016,TradeZone,SEMI-AUTO,10350,93.9,4,69283,981.223
4567,PEUGEOT,5008,BLACK,SUV,Petrol,PEUGEOT50083 Years OldPETROL,PEUGEOT50083 Years Old,PEUGEOT5008,GT,29/07/2021,TradeZone,SEMI-AUTO,17450,43.2,1,57740,1362.76
926,NISSAN,LEAF,RED,Hatchback,Electric,NISSANLEAF5 Years OldELECTRIC,NISSANLEAF5 Years Old,NISSANLEAF,TEKNA,14/12/2019,TradeZone,AUTO,6975,61.066667,1,64181,1449.94
3424,MERCEDES-BENZ,C-CLASS,SILVER,Coupe,Diesel,MERCEDES-BENZC-CLASS5 Years OldDIESEL,MERCEDES-BENZC-CLASS5 Years Old,MERCEDES-BENZC-CLASS,AMG LINE,28/05/2019,TradeZone,SEMI-AUTO,15650,71.233333,3,53522,389.06
680,RENAULT,CAPTUR,ORANGE,SUV,Petrol,RENAULTCAPTUR6 Years OldPETROL,RENAULTCAPTUR6 Years Old,RENAULTCAPTUR,ICONIC,28/03/2019,PARTEX,MANUAL,6475,71.133333,3,55485,377.22999999999996
2050,SUZUKI,SWIFT,SILVER,Hatchback,Petrol,SUZUKISWIFT2 Years OldPETROL,SUZUKISWIFT2 Years Old,SUZUKISWIFT,ATTITUDE,24/02/2020,TradeZone,MANUAL,8275,58.666667,3,27647,1989.92
2771,RENAULT,CAPTUR,BLACK,SUV,Petrol,RENAULTCAPTUR8 Years OldPETROL,RENAULTCAPTUR8 Years Old,RENAULTCAPTUR,DYNAMIQUE NAV,01/09/2016,PARTEX,MANUAL,5075,95.266667,5,48331,1856.434
5801,BMW,X1,BLACK,SUV,Hybrid,BMWX14 Years OldPETROLPLUGINELECTRICHYBRID,BMWX14 Years Old,BMWX1,SPORT,16/09/2020,TradeZone,SEMI-AUTO,15900,51.166667,1,54300,459.73
2820,SKODA,KAROQ,GREY,SUV,Petrol,SKODAKAROQ3 Years OldPETROL,SKODAKAROQ3 Years Old,SKODAKAROQ,SE L,05/03/2021,TradeZone,MANUAL,17850,39,3,13867,573.77
7584,KIA,PICANTO,RED,Hatchback,Petrol,KIAPICANTO4 Years OldPETROL,KIAPICANTO4 Years Old,KIAPICANTO,2,10/09/2020,TradeZone,MANUAL,8025,48.933333,2,17292,534.5
7751,TOYOTA,C-HR,GREY,SUV,Hybrid,TOYOTAC-HR2 Years OldPETROLELECTRICHYBRID,TOYOTAC-HR2 Years Old,TOYOTAC-HR,DESIGN,20/12/2021,TradeZone,AUTO,18950,33.7,2,7821,320.627
7907,SMART,FORFOUR,BLACK,Hatchback,Petrol,SMARTFORFOUR4 Years OldPETROL,SMARTFORFOUR4 Years Old,SMARTFORFOUR,PRIME,17/08/2019,TradeZone,MANUAL,5950,58.466667,1,13622,1880
7132,RENAULT,CLIO,WHITE,Hatchback,Diesel,RENAULTCLIO6 Years OldDIESEL,RENAULTCLIO6 Years Old,RENAULTCLIO,DYNAMIQUE S NAV,29/11/2017,TradeZone,MANUAL,5000,82.3,3,67400,629.54
7760,AUDI,A5 CABRIOLET,WHITE,Convertible,Diesel,AUDIA5 CABRIOLET5 Years OldDIESEL,AUDIA5 CABRIOLET5 Years Old,AUDIA5 CABRIOLET,S LINE,21/06/2019,TradeZone,SEMI-AUTO,17400,62.166667,4,41564,575.49
9913,SUZUKI,SWIFT,SILVER,Hatchback,Petrol,SUZUKISWIFT5 Years OldPETROL,SUZUKISWIFT5 Years Old,SUZUKISWIFT,ATTITUDE,14/06/2019,TradeZone,MANUAL,7600,60.8,1,30051,741.9300000000001
825,MERCEDES-BENZ,CLA,WHITE,Coupe,Petrol,MERCEDES-BENZCLA5 Years OldPETROL,MERCEDES-BENZCLA5 Years Old,MERCEDES-BENZCLA,AMG LINE EDITION,31/01/2019,OTHER,MANUAL,13500,64.3,1,28671,2487.805
3811,CITROEN,C3,WHITE,Hatchback,Petrol,CITROENC37 Years OldPETROL,CITROENC37 Years Old,CITROENC3,FLAIR,31/03/2017,TradeZone,MANUAL,6125,93.333333,2,25205,824.87
8947,FIAT,500E,GREEN,Hatchback,Electric,FIAT500E2 Years OldELECTRIC,FIAT500E2 Years Old,FIAT500E,LA PRIMA,31/07/2021,TradeZone,AUTO,12400,35.366667,1,17998,338.49
8766,PORSCHE,MACAN,GREY,SUV,Diesel,PORSCHEMACAN8 Years OldDIESEL,PORSCHEMACAN8 Years Old,PORSCHEMACAN,S,31/10/2016,TradeZone,SEMI-AUTO,18750,102.3,3,58330,323.51
5374,BMW,X1,ORANGE,SUV,Hybrid,BMWX13 Years OldPETROLPLUGINELECTRICHYBRID,BMWX13 Years Old,BMWX1,SPORT,29/06/2021,TradeZone,SEMI-AUTO,14900,40.666667,1,70644,923.9399999999999
9032,BMW,X1,WHITE,SUV,Petrol,BMWX15 Years OldPETROL,BMWX15 Years Old,BMWX1,M SPORT,29/03/2019,TradeZone,SEMI-AUTO,15800,62.633333,2,42864,859.5409999999999
8617,FIAT,500L,RED,Hatchback,Diesel,FIAT500L9+ Years OldDIESEL,FIAT500L9+ Years Old,FIAT500L,TREKKING,22/10/2015,PARTEX,MANUAL,2450,111.8,4,67242,524.4399999999999
391,MINI,HATCHBACK,BLUE,Hatchback,Petrol,MINIHATCHBACK5 Years OldPETROL,MINIHATCHBACK5 Years Old,MINIHATCHBACK,COOPER SPORT,30/09/2019,TradeZone,MANUAL,14700,60.666667,1,14265,1316.19
4029,SEAT,IBIZA,BLUE,Hatchback,Petrol,SEATIBIZA2 Years OldPETROL,SEATIBIZA2 Years Old,SEATIBIZA,SE TECHNOLOGY,24/03/2022,TradeZone,MANUAL,12700,26.366667,1,12431,1235.625
5055,RENAULT,CAPTUR,CREAM/BLACK,SUV,Diesel,RENAULTCAPTUR6 Years OldDIESEL,RENAULTCAPTUR6 Years Old,RENAULTCAPTUR,DYNAMIQUE S NAV,29/09/2017,OTHER,MANUAL,8675,80.366667,2,16589,568.0799999999999
306,CITROEN,C3,GREY,Hatchback,Petrol,CITROENC33 Years OldPETROL,CITROENC33 Years Old,CITROENC3,SHINE PLUS,04/09/2021,TradeZone,MANUAL,9525,39.566667,1,26565,707.311
8636,VAUXHALL,CROSSLAND X,SILVER,SUV,Petrol,VAUXHALLCROSSLAND X6 Years OldPETROL,VAUXHALLCROSSLAND X6 Years Old,VAUXHALLCROSSLAND X,ELITE,30/04/2018,TradeZone,MANUAL,6425,82.866667,1,25939,569.31
